Unique ID,Curriculum,Grade,Subject,Chapter ID,Chapter Name,Topic ID,Topic,Target Date,Learning Status,Learning Stage,Learning Proficiency,Progress %,Notes
CBSE-11-PHY-1.1,CBSE,11,Physics,PHY-1, Physical World ,PHY-1.1, Scope and excitement of physics,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-PHY-1.2,CBSE,11,Physics,PHY-1, Physical World ,PHY-1.2, Physics in relation to other sciences,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-PHY-1.3,CBSE,11,Physics,PHY-1, Physical World ,PHY-1.3, Nature of physical laws,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-PHY-2.1,CBSE,11,Physics,PHY-2, Units and Measurements ,PHY-2.1, SI units and dimensional analysis,20/1/2026,Done,Practiced,Master,0,
CBSE-11-PHY-2.2,CBSE,11,Physics,PHY-2, Units and Measurements ,PHY-2.2, Measurement of length mass time,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-PHY-2.3,CBSE,11,Physics,PHY-2, Units and Measurements ,PHY-2.3, Accuracy percision errors,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-PHY-2.4,CBSE,11,Physics,PHY-2, Units and Measurements ,PHY-2.4, Significant figures and rounding off,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-PHY-3.1,CBSE,11,Physics,PHY-3, Motion in a Straight Line ,PHY-3.1, Position path length displacement,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-PHY-3.2,CBSE,11,Physics,PHY-3, Motion in a Straight Line ,PHY-3.2, Average and instantaneous velocity,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-PHY-3.3,CBSE,11,Physics,PHY-3, Motion in a Straight Line ,PHY-3.3, Speed and velocity graphs,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-PHY-3.4,CBSE,11,Physics,PHY-3, Motion in a Straight Line ,PHY-3.4, Acceleration and its graphs,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-PHY-3.5,CBSE,11,Physics,PHY-3, Motion in a Straight Line ,PHY-3.5, Equations of motion,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-PHY-4.1,CBSE,11,Physics,PHY-4, Motion in a Plane ,PHY-4.1, Vectors and scalars,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-PHY-4.2,CBSE,11,Physics,PHY-4, Motion in a Plane ,PHY-4.2, Vector addition and subtraction,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-PHY-4.3,CBSE,11,Physics,PHY-4, Motion in a Plane ,PHY-4.3, Multiplication of vectors,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-PHY-4.4,CBSE,11,Physics,PHY-4, Motion in a Plane ,PHY-4.4, Projectile motion,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-PHY-4.5,CBSE,11,Physics,PHY-4, Motion in a Plane ,PHY-4.5, Uniform circular motion,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-PHY-5.1,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.1, Newton's laws of motion,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-PHY-5.2,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.2, Inertia and mass,20/1/2026,Done,Practiced,Expert,0,
CBSE-11-PHY-5.3,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.3, Force and types of forces,20/1/2026,Closed,Revised,Master,0,
CBSE-11-PHY-5.4,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.4, Friction and contact forces,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-PHY-5.5,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.5, Free body diagrams,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-PHY-5.6,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.6, Circular motion and banking,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-PHY-5.7,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.7, Conservation of momentum,20/1/2026,Done,Practiced,Master,0,
CBSE-11-PHY-5.8,CBSE,11,Physics,PHY-5, Laws of Motion ,PHY-5.8, Impulse and collisions,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-PHY-6.1,CBSE,11,Physics,PHY-6, Energy and Power ,PHY-6.1, Work done by constant force,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-PHY-6.2,CBSE,11,Physics,PHY-6, Energy and Power ,PHY-6.2, Work done by variable force,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-PHY-6.3,CBSE,11,Physics,PHY-6, Energy and Power ,PHY-6.3, Kinetic energy and work-energy theorem,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-PHY-6.4,CBSE,11,Physics,PHY-6, Energy and Power ,PHY-6.4, Potential energy and conservative forces,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-PHY-6.5,CBSE,11,Physics,PHY-6, Energy and Power ,PHY-6.5, Power and commercial energy,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-PHY-7.1,CBSE,11,Physics,PHY-7, System of Particles and Rotational Motion ,PHY-7.1, Centre of mass and motion,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-PHY-7.2,CBSE,11,Physics,PHY-7, System of Particles and Rotational Motion ,PHY-7.2, Linear momentum and torque,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-PHY-7.3,CBSE,11,Physics,PHY-7, System of Particles and Rotational Motion ,PHY-7.3, Angular velocity and acceleration,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-PHY-7.4,CBSE,11,Physics,PHY-7, System of Particles and Rotational Motion ,PHY-7.4, Moment of inertia and radius of gyration,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-PHY-7.5,CBSE,11,Physics,PHY-7, System of Particles and Rotational Motion ,PHY-7.5, Rotational kinetic energy,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-PHY-8.1,CBSE,11,Physics,PHY-8, Gravitation ,PHY-8.1, Newton's law of gravitation,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-PHY-8.2,CBSE,11,Physics,PHY-8, Gravitation ,PHY-8.2, Acceleration due to gravity,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-PHY-8.3,CBSE,11,Physics,PHY-8, Gravitation ,PHY-8.3, Variation of g with height and depth,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-PHY-8.4,CBSE,11,Physics,PHY-8, Gravitation ,PHY-8.4, Gravitational potential energy,20/1/2026,Done,Practiced,Expert,0,
CBSE-11-PHY-8.5,CBSE,11,Physics,PHY-8, Gravitation ,PHY-8.5, Escape velocity and orbital velocity,20/1/2026,Closed,Revised,Master,0,
CBSE-11-PHY-9.1,CBSE,11,Physics,PHY-9, Mechanical Properties of Solids ,PHY-9.1, Stress and strain,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-PHY-9.2,CBSE,11,Physics,PHY-9, Mechanical Properties of Solids ,PHY-9.2, Hooke's law and modulus of elasticity,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-PHY-9.3,CBSE,11,Physics,PHY-9, Mechanical Properties of Solids ,PHY-9.3, Poisson's ratio and elastic potential energy,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-PHY-9.4,CBSE,11,Physics,PHY-9, Mechanical Properties of Solids ,PHY-9.4, Plastic deformation and breaking stress,20/1/2026,Done,Practiced,Master,0,
CBSE-11-PHY-10.1,CBSE,11,Physics,PHY-10, Mechanical Properties of Fluids ,PHY-10.1, Pressure and Pascal's law,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-PHY-10.2,CBSE,11,Physics,PHY-10, Mechanical Properties of Fluids ,PHY-10.2, Buoyancy and Archimedes' principle,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-PHY-10.3,CBSE,11,Physics,PHY-10, Mechanical Properties of Fluids ,PHY-10.3, Surface tension and viscosity,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-PHY-10.4,CBSE,11,Physics,PHY-10, Mechanical Properties of Fluids ,PHY-10.4, Bernoulli's theorem and its applications,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-PHY-11.1,CBSE,11,Physics,PHY-11, Thermal Properties of Matter ,PHY-11.1, Heat and temperature,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-PHY-11.2,CBSE,11,Physics,PHY-11, Thermal Properties of Matter ,PHY-11.2, Thermal expansion and calorimetry,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-PHY-11.3,CBSE,11,Physics,PHY-11, Thermal Properties of Matter ,PHY-11.3, Heat transfer: conduction convection radiation,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-PHY-11.4,CBSE,11,Physics,PHY-11, Thermal Properties of Matter ,PHY-11.4, Newton's law of cooling and blackbody radiation,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-PHY-12.1,CBSE,11,Physics,PHY-12, Thermodynamics ,PHY-12.1, Thermal equilibrium and zeroth law,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-PHY-12.2,CBSE,11,Physics,PHY-12, Thermodynamics ,PHY-12.2, First law of thermodynamics,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-PHY-12.3,CBSE,11,Physics,PHY-12, Thermodynamics ,PHY-12.3, Specific heat capacity and latent heat,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-PHY-12.4,CBSE,11,Physics,PHY-12, Thermodynamics ,PHY-12.4, Heat engines and refrigerators,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-PHY-13.1,CBSE,11,Physics,PHY-13, Kinetic Theory ,PHY-13.1, Equation of state of ideal gas,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-PHY-13.2,CBSE,11,Physics,PHY-13, Kinetic Theory ,PHY-13.2, Kinetic theory of gases,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-PHY-13.3,CBSE,11,Physics,PHY-13, Kinetic Theory ,PHY-13.3, Degree of freedom and law of equipartition,20/1/2026,Done,Practiced,Expert,0,
